Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
8,Usat. Euros/m2 construït,Nou Barris,1,el Turó de la Peira,2375.0,46,161,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Can Peguera,1932.6,47,162,2020
8,Usat. Euros/m2 construït,Nou Barris,1,la Guineueta,2620.0,48,163,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Canyelles,2222.2,49,164,2020
8,Usat. Euros/m2 construït,Nou Barris,1,les Roquetes,2614.9,50,165,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Verdun,2482.3,51,166,2020
8,Usat. Euros/m2 construït,Nou Barris,1,la Prosperitat,2390.6,52,167,2020
8,Usat. Euros/m2 construït,Nou Barris,1,la Trinitat Nova,1715.7,53,168,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Torre Baró,N/A,54,169,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Ciutat Meridiana,1808.6,55,170,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Vallbona,N/A,56,171,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,la Trinitat Vella,2318.7,57,172,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,Baró de Viver,3406.3,58,173,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,el Bon Pastor,2122.7,59,174,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,Sant Andreu,2991.9,60,175,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,la Sagrera,3263.3,61,176,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,el Congrés i els Indians,2748.6,62,177,2020
9,Usat. Euros/m2 construït,Sant Andreu,1,Navas,4333.2,63,178,2020
10,Usat. Euros/m2 construït,Sant Martí,1,el Camp de l'Arpa del Clot,4378.9,64,179,2020
10,Usat. Euros/m2 construït,Sant Martí,1,el Clot,4524.0,65,180,2020
10,Usat. Euros/m2 construït,Sant Martí,1,el Parc i la Llacuna del Poblenou,4844.2,66,181,2020
10,Usat. Euros/m2 construït,Sant Martí,1,la Vila Olímpica del Poblenou,4703.4,67,182,2020
10,Usat. Euros/m2 construït,Sant Martí,1,el Poblenou,4604.7,68,183,2020
10,Usat. Euros/m2 construït,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,7880.6,69,184,2020
10,Usat. Euros/m2 construït,Sant Martí,1,el Besòs i el Maresme,2886.3,70,185,2020
10,Usat. Euros/m2 construït,Sant Martí,1,Provençals del Poblenou,5093.1,71,186,2020
10,Usat. Euros/m2 construït,Sant Martí,1,Sant Martí de Provençals,3540.9,72,187,2020
10,Usat. Euros/m2 construït,Sant Martí,1,la Verneda i la Pau,2403.7,73,188,2020
