Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
10,Usat. Milers d'euros,Sant Martí,Sant Martí de Provençals,273.3,72,218,2017
10,Usat. Milers d'euros,Sant Martí,la Verneda i la Pau,138.8,73,219,2017
1,Total. Euros/m2 construït,Ciutat Vella,el Raval,3469.9,1,220,2017
1,Total. Euros/m2 construït,Ciutat Vella,el Barri Gòtic,4565.8,2,221,2017
1,Total. Euros/m2 construït,Ciutat Vella,la Barceloneta,4501.1,3,222,2017
1,Total. Euros/m2 construït,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4593.7,4,223,2017
2,Total. Euros/m2 construït,Eixample,el Fort Pienc,4296.6,5,224,2017
2,Total. Euros/m2 construït,Eixample,la Sagrada Família,3494.5,6,225,2017
2,Total. Euros/m2 construït,Eixample,la Dreta de l'Eixample,4628,7,226,2017
2,Total. Euros/m2 construït,Eixample,l'Antiga Esquerra de l'Eixample,4218.9,8,227,2017
2,Total. Euros/m2 construït,Eixample,la Nova Esquerra de l'Eixample,4519,9,228,2017
2,Total. Euros/m2 construït,Eixample,Sant Antoni,3322.7,10,229,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,el Poble Sec,3554.6,11,230,2017
8,Nou. Euros/m2 construït,Nou Barris,la Trinitat Nova,NA,53,345,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,la Marina del Prat Vermell,1381.4,12,231,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,la Marina de Port,2497,13,232,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,la Font de la Guatlla,3056.9,14,233,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,Hostafrancs,3276.3,15,234,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,la Bordeta,3803.9,16,235,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,Sants - Badal,2911.1,17,236,2017
3,Total. Euros/m2 construït,Sants-Montjuïc,Sants,4683.4,18,237,2017
4,Total. Euros/m2 construït,Les Corts,les Corts,4737.6,19,238,2017
4,Total. Euros/m2 construït,Les Corts,la Maternitat i Sant Ramon,4018.5,20,239,2017
4,Total. Euros/m2 construït,Les Corts,Pedralbes,5290.3,21,240,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",2887.9,22,241,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sarrià,6159.2,23,242,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,les Tres Torres,5649.1,24,243,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,5003.2,25,244,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,4787.6,26,245,2017
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,el Putxet i el Farró,4839.6,27,246,2017
